	06FP.R	24MP.R	28FP.R	29FP.R	34FP	34MP	43FPr	78MFER	AMR100_BLSE	AMR101_BLSE	AMR38	BV_ind6_BLSE1	BVind3_put1_BLSE1	BVind4_put1_BLSE1	BVind5_put1_BLSE1	C189	D143_BDX	D152_BDX	G101	HU006	HU010	HU013	HU042	HU084	HU097	HU_AP_BLSE1	HU_CH_BLSE1	K113	K138_BDX	K138_ROSE	L01_Mep1_BLSE1	L03_Mep1_BLSE1	L11_Mep1_BLSE1	LO2_MEP2	P3_PVT1	RUN73_BLSE1	RUN73_BLSE2	RUN76	RUN77	RUN79	RUN82	RUN85	SJ_BL1_BLSE1	SJ_BL2_BLSE1	SJ_M02_BLSE1	V12D_PVT1	V134_PVT1	V174_PVT1	V199_MEP4	V199_mep5_BLSE1	V213_put1_BLSE1	V237_Mep2_BLSE1	V237_mep1_BLSE1	V31_PVT1	V320_MEP3_BLSE1	V320_MEP3_BLSE2	V32_put1_BLSE1	V33_PVT1	V45_put1_BLSE1	V49_PVT1	V88_PVT1	V88_pvt2_BLSE1	ravine_daniel_epandage
06FP.R	0	61587	57	61094	61094	61093	62727	61559	62867	62878	62872	61192	61780	61782	61191	40700	73943	61443	72520	73752	61990	72530	73796	73806	73763	62115	41722	61556	72523	72532	61673	61788	61780	61607	61399	62065	62720	61191	61191	73944	61191	61193	61313	61994	61313	60996	61189	62816	61192	61192	61582	62814	62820	62817	61581	61577	62818	62820	61984	62818	63013	62821	62819
24MP.R	61587	0	61578	18667	18667	18666	36042	34842	47339	47350	47346	17826	35550	35552	17825	62797	74315	18436	71903	74436	34656	71913	74080	74089	73651	35484	62729	19444	71898	71916	16422	35558	35550	16351	34351	34688	36031	17828	17827	74318	17827	17829	17641	34658	17641	18183	18267	47300	18268	18268	34437	47298	47296	47301	34436	34432	47300	47304	34593	47302	46732	47303	47305
28FP.R	57	61578	0	61087	61087	61086	62718	61552	62856	62867	62861	61183	61773	61775	61182	40691	73934	61434	72509	73745	61981	72519	73787	73797	73754	62108	41713	61547	72512	72521	61666	61781	61773	61600	61390	62056	62711	61182	61182	73935	61182	61184	61306	61985	61306	60989	61182	62805	61185	61185	61573	62803	62809	62806	61572	61568	62807	62809	61975	62807	63002	62810	62808
29FP.R	61094	18667	61087	0	42	41	36258	35542	47350	47361	47357	18423	35942	35944	18422	62555	74627	18803	72127	74502	34909	72137	74405	74414	73844	35784	62969	18711	72105	72122	18054	35950	35942	17984	34459	34987	36245	18425	18424	74630	18424	18426	16862	34913	16862	3016	2193	47411	2196	2194	35067	47409	47415	47412	35066	35062	47411	47415	34894	47413	46830	47414	47416
34FP	61094	18667	61087	42	0	13	36258	35542	47350	47361	47357	18423	35942	35944	18422	62555	74627	18803	72129	74504	34909	72139	74405	74414	73844	35784	62969	18711	72107	72124	18054	35950	35942	17984	34459	34987	36245	18425	18424	74630	18424	18426	16862	34913	16862	3016	2193	47411	2196	2194	35067	47409	47415	47412	35066	35062	47411	47415	34894	47413	46830	47414	47416
34MP	61093	18666	61086	41	13	0	36257	35541	47349	47360	47356	18422	35941	35943	18421	62554	74628	18802	72128	74503	34908	72138	74406	74415	73845	35783	62968	18710	72106	72123	18053	35949	35941	17983	34458	34986	36244	18424	18423	74631	18423	18425	16861	34912	16861	3015	2192	47410	2195	2193	35066	47408	47414	47411	35065	35061	47410	47414	34893	47412	46829	47413	47415
43FPr	62727	36042	62718	36258	36258	36257	0	20119	45134	45145	45141	35581	28858	28860	35580	63732	74754	35459	72752	75053	24526	72762	74601	74614	74166	27990	63618	35659	72729	72750	35825	28866	28858	35758	27099	24328	93	35583	35582	74757	35582	35584	35718	24529	35718	35737	36414	44599	36418	36417	26471	44597	44595	44600	26470	26466	44599	44603	24238	44601	43817	44602	44604
78MFER	61559	34842	61552	35542	35542	35541	20119	0	46023	46034	46030	34743	23589	23591	34742	63271	74855	34377	71818	75150	20554	71828	74533	74546	74274	23191	63156	34468	71784	71805	34726	23597	23589	34659	20708	20568	20110	34745	34744	74858	34744	34746	34824	20557	34824	34795	35533	45875	35536	35536	20480	45873	45871	45876	20479	20475	45875	45879	20482	45877	45055	45878	45880
AMR100_BLSE	62867	47339	62856	47350	47350	47349	45134	46023	0	19	13	47122	47261	47263	47121	63430	74702	47207	72643	74784	46255	72650	74536	74543	74232	46464	63504	47178	72642	72655	47275	47269	47261	47206	46329	46277	45123	47124	47123	74710	47123	47125	47168	46260	47168	47265	47370	28546	47371	47371	46010	28544	28550	28547	46010	46006	28546	28550	46194	28548	29783	28549	28551
AMR101_BLSE	62878	47350	62867	47361	47361	47360	45145	46034	19	0	20	47133	47272	47274	47132	63441	74713	47216	72654	74795	46266	72661	74547	74554	74243	46475	63515	47189	72653	72666	47286	47280	47272	47217	46340	46288	45134	47135	47134	74721	47134	47136	47177	46271	47177	47276	47381	28557	47382	47382	46021	28555	28561	28558	46021	46017	28559	28561	46205	28559	29794	28562	28562
