	43FPb	55FP	78MFEB	C113	COQDECOMBAT2_BLSE1	HU003	L105	R120_TURQ	SJ_BL1_BLSE2	SJ_BL1_BLSE3	SJ_BL1_BLSE4	SJ_BL1_BLSE5	SJ_BL2_BLSE2	SJ_BL2_BLSE3	SJ_BL2_BLSE4	SJ_BL2_BLSE5	SJ_BL2_BLSE6	SJ_C_BLSE1	SJ_C_BLSE2	SJ_C_BLSE3	SJ_C_BLSE4	SJ_C_BLSE5	SJ_MO1_BLSE1	SJ_MO1_BLSE2	SJ_MO1_BLSE3	SJ_MO1_BLSE4	SJ_MO2_BLSE2	SJ_MO2_BLSE3	SJ_MO2_BLSE4	SJ_MO2_BLSE5	SJ_MO3_BLSE1	SJ_MO3_BLSE2	SJ_MO3_BLSE3	SJ_MO3_BLSE4	SJ_MO3_BLSE5	SJ_MO4_BLSE1	SJ_MO4_BLSE2	SJ_MO4_BLSE3	SJ_MO4_BLSE4	SJ_VC_BLSE1	SJ_VC_BLSE2	SJ_VC_BLSE3	SJ_VC_BLSE4	SJ_VC_BLSE5	SJ_VP_BLSE1	SJ_VP_BLSE2	SJ_VP_BLSE3	SJ_VP_BLSE4	SJ_VP_BLSE5	V110_put1_BLSE1	V120_HEP5	V120_MEP4	V281_Mep1_BLSE2	V281_Mep2_BLSE1	X013	X021A	X021B	X043
43FPb	0	204194	22034	17751	204256	21175	20535	20288	21773	21776	21778	21777	21775	21776	21776	21785	21777	21772	21776	21783	21774	21779	20538	20537	20538	20537	21780	21780	21779	21776	21779	22163	21777	22163	21775	22162	22163	22163	22162	21775	22163	21783	21781	21780	22158	22163	22158	22163	22164	202493	20708	20710	33	36	20542	20540	20540	20542
55FP	204194	0	204008	204333	18362	204074	204013	204415	203987	203990	203992	203991	203989	203991	203990	203999	203991	203986	203990	203997	203987	203993	204020	204019	204020	204019	203994	203994	203993	203990	203993	204170	203992	204170	203989	204169	204170	204170	204169	203987	204170	203995	203993	203992	204166	204170	204166	204170	204171	104726	204200	204200	204195	204201	204023	204021	204021	204023
78MFEB	22034	204008	0	22093	204065	21611	21594	21717	20586	20589	20591	20590	20588	20591	20589	20598	20590	20585	20589	20596	20589	20592	21597	21596	21597	21596	20593	20593	20592	20589	20592	21975	20592	21975	20588	21974	21975	21975	21974	20588	21975	20596	20594	20593	21972	21975	21972	21975	21976	202420	21640	21642	22037	22038	21601	21599	21599	21601
C113	17751	204333	22093	0	204378	20872	20141	21088	21690	21693	21695	21694	21692	21703	21693	21702	21694	21689	21693	21700	21701	21696	20144	20143	20144	20143	21697	21697	21696	21693	21696	21983	21704	21983	21692	21982	21983	21983	21982	21692	21983	21700	21698	21697	21988	21983	21988	21983	21984	202736	20617	20619	17750	17747	20147	20145	20145	20147
COQDECOMBAT2_BLSE1	204256	18362	204065	204378	0	204120	204062	204446	204019	204022	204024	204023	204021	204023	204022	204031	204023	204018	204022	204029	204019	204025	204069	204068	204069	204068	204026	204026	204025	204022	204025	204215	204024	204215	204021	204214	204215	204215	204214	204021	204215	204029	204027	204026	204211	204215	204211	204215	204216	104604	204239	204239	204258	204263	204072	204070	204070	204072
HU003	21175	204074	21611	20872	204120	0	20733	21454	21535	21538	21540	21539	21537	21548	21538	21547	21539	21534	21538	21545	21546	21541	20736	20735	20736	20735	21542	21542	21541	21538	21541	22106	21549	22106	21537	22105	22106	22106	22105	21537	22106	21545	21543	21542	22111	22106	22111	22106	22107	202551	21097	21099	21174	21171	20740	20738	20738	20740
L105	20535	204013	21594	20141	204062	20733	0	21001	21186	21189	21191	21190	21188	21191	21189	21198	21190	21185	21189	21196	21189	21192	23	22	23	22	21193	21193	21192	21189	21192	21949	21192	21949	21188	21948	21949	21949	21948	21188	21949	21196	21194	21193	21946	21949	21946	21949	21950	202484	10300	10302	20534	20539	29	27	27	29
R120_TURQ	20288	204415	21717	21088	204446	21454	21001	0	20638	20641	20643	20642	20640	20651	20641	20650	20642	20637	20641	20648	20649	20644	21004	21003	21004	21003	20645	20645	20644	20641	20644	21703	20652	21703	20640	21702	21703	21703	21702	20640	21703	20648	20646	20645	21708	21703	21708	21703	21704	202944	21228	21230	20287	20284	21008	21006	21006	21008
SJ_BL1_BLSE2	21773	203987	20586	21690	204019	21535	21186	20638	0	5	7	6	4	15	5	12	6	1	5	12	13	8	21189	21188	21189	21188	9	7	8	5	8	21547	14	21547	4	21546	21547	21547	21546	4	21547	10	8	9	21552	21547	21552	21547	21548	202400	21620	21622	21774	21769	21193	21191	21191	21193
SJ_BL1_BLSE3	21776	203990	20589	21693	204022	21538	21189	20641	5	0	10	7	7	18	6	17	5	4	8	15	16	11	21192	21191	21192	21191	12	12	11	8	9	21550	19	21550	7	21549	21550	21550	21549	7	21550	15	13	10	21555	21550	21555	21550	21551	202401	21623	21625	21777	21772	21196	21194	21194	21196
SJ_BL1_BLSE4	21778	203992	20591	21695	204024	21540	21191	20643	7	10	0	11	9	14	10	17	11	6	10	17	18	11	21194	21193	21194	21193	10	10	9	8	13	21552	19	21552	9	21551	21552	21552	21551	9	21552	17	13	14	21557	21552	21557	21552	21553	202405	21625	21627	21779	21774	21198	21196	21196	21198
SJ_BL1_BLSE5	21777	203991	20590	21694	204023	21539	21190	20642	6	7	11	0	8	17	7	18	8	5	9	16	17	12	21193	21192	21193	21192	13	13	10	7	8	21551	20	21551	8	21550	21551	21551	21550	6	21551	16	12	11	21556	21551	21556	21551	21552	202402	21624	21626	21778	21773	21197	21195	21195	21197
SJ_BL2_BLSE2	21775	203989	20588	21692	204021	21537	21188	20640	4	7	9	8	0	17	7	14	8	3	5	12	15	8	21191	21190	21191	21190	9	9	10	7	10	21549	18	21549	6	21548	21549	21549	21548	6	21549	10	12	11	21554	21549	21554	21549	21550	202402	21622	21624	21776	21771	21195	21193	21193	21195
SJ_BL2_BLSE3	21776	203991	20591	21703	204023	21548	21191	20651	15	18	14	17	17	0	18	21	19	14	18	23	16	19	21194	21193	21194	21193	16	18	17	16	19	21560	13	21560	15	21559	21560	21560	21559	15	21560	25	23	22	21555	21560	21555	21560	21561	202404	21633	21635	21777	21782	21198	21196	21196	21198
