	13FP.B	29FP.B	29FP.c	AliDaad_IMI	BV1_BLSE2	BV2_BLSE1	C141	Farad_Ali_IMI	HU001	HU008	HU027	K138_BLEU	P7_PVT1	REUN49	S105_TURQ	SJ_P1_BLSE1	SJ_P2_BLSE1	V303_mep1_BLSE3	dewez_IMI
13FP.B	0	97484	97484	100606	111646	111622	97218	97957	111712	113548	111678	96122	111642	111666	111539	111729	111586	112503	97909
29FP.B	97484	0	0	89930	99862	99841	12905	67803	99893	101992	99812	70158	99821	99797	99714	99871	99812	100209	67825
29FP.c	97484	0	0	89930	99862	99841	12905	67803	99893	101992	99812	70158	99821	99797	99714	99871	99812	100209	67825
AliDaad_IMI	100606	89930	89930	0	105390	105376	89585	92664	105486	107492	105424	93338	105411	105448	105258	105456	105474	106012	92656
BV1_BLSE2	111646	99862	99862	105390	0	64	99526	95092	8642	35456	8268	94036	8422	8342	8364	8613	8137	25649	95098
BV2_BLSE1	111622	99841	99841	105376	64	0	99501	95071	8625	35436	8250	94015	8401	8327	8353	8598	8122	25634	95079
C141	97218	12905	12905	89585	99526	99501	0	67639	99499	101737	99461	70022	99439	99450	99335	99495	99459	99894	67656
Farad_Ali_IMI	97957	67803	67803	92664	95092	95071	67639	0	95151	97217	95061	55343	95115	94989	94911	95184	95114	93723	12785
HU001	111712	99893	99893	105486	8642	8625	99499	95151	0	35696	8365	94057	8205	8417	8015	5903	7978	25715	95139
HU008	113548	101992	101992	107492	35456	35436	101737	97217	35696	0	35650	96237	35556	35583	35538	35812	35539	36609	97265
HU027	111678	99812	99812	105424	8268	8250	99461	95061	8365	35650	0	94004	8108	8446	8286	8451	8192	25682	95070
K138_BLEU	96122	70158	70158	93338	94036	94015	70022	55343	94057	96237	94004	0	93946	93972	93931	94097	94062	94380	55459
P7_PVT1	111642	99821	99821	105411	8422	8401	99439	95115	8205	35556	8108	93946	0	8262	8298	8542	7938	25685	95115
REUN49	111666	99797	99797	105448	8342	8327	99450	94989	8417	35583	8446	93972	8262	0	8668	8579	8407	25696	94978
S105_TURQ	111539	99714	99714	105258	8364	8353	99335	94911	8015	35538	8286	93931	8298	8668	0	8511	7081	25543	94933
SJ_P1_BLSE1	111729	99871	99871	105456	8613	8598	99495	95184	5903	35812	8451	94097	8542	8579	8511	0	8202	25816	95166
SJ_P2_BLSE1	111586	99812	99812	105474	8137	8122	99459	95114	7978	35539	8192	94062	7938	8407	7081	8202	0	25514	95101
V303_mep1_BLSE3	112503	100209	100209	106012	25649	25634	99894	93723	25715	36609	25682	94380	25685	25696	25543	25816	25514	0	93764
dewez_IMI	97909	67825	67825	92656	95098	95079	67656	12785	95139	97265	95070	55459	95115	94978	94933	95166	95101	93764	0
